"time","volume.medium.T","volume.medium.p","der(volume.medium.T)","der(volume.medium.p)","der(volume.U)","der(volume.m)","der(volume.medium.d)","der(volume.medium.u)","der(volume.ports[5].h_outflow)","boundary.medium.MM","boundary.medium.R_s","boundary.medium.T_degC","boundary.medium.X[1]","boundary.medium.d","boundary.medium.p_bar","boundary.medium.u","boundary1.medium.MM","boundary1.medium.R_s","boundary1.medium.T_degC","boundary1.medium.X[1]","boundary1.medium.d","boundary1.medium.p_bar","boundary1.medium.u","boundary11.medium.MM","boundary11.medium.R_s","boundary11.medium.T_degC","boundary11.medium.X[1]","boundary11.medium.d","boundary11.medium.p_bar","boundary11.medium.u","m_flow_orifice1.m_flow_dat","m_flow_orifice1.port_a.m_flow","m_flow_orifice1.port_b.m_flow","m_flow_par_test.port_a.m_flow","m_flow_par_test.port_b.m_flow","orifice.A_mean","orifice.F_p","orifice.I","orifice.Ib_flow","orifice.V_flow","orifice.d","orifice.dp","orifice.dp_fg","orifice.m_flow","orifice.pathLength","orifice.port_a_T","orifice.port_b_T","orifice1.A_mean","orifice1.F_p","orifice1.I","orifice1.Ib_flow","orifice1.V_flow","orifice1.d","orifice1.dp","orifice1.dp_fg","orifice1.pathLength","orifice1.port_a_T","orifice1.port_b_T","orifice2.A_mean","orifice2.F_p","orifice2.I","orifice2.Ib_flow","orifice2.V_flow","orifice2.d","orifice2.dp","orifice2.dp_fg","orifice2.m_flow","orifice2.pathLength","orifice2.port_a_T","orifice2.port_b_T","volume.Hb_flow","volume.U","volume.Wb_flow","volume.heatTransfer.heatPorts[1].Q_flow","volume.heatTransfer.surfaceAreas[1]","volume.m","volume.m_flow_turbulent[1]","volume.m_flow_turbulent[2]","volume.m_flow_turbulent[3]","volume.m_flow_turbulent[4]","volume.m_flow_turbulent[5]","volume.mb_flow","volume.medium.MM","volume.medium.R_s","volume.medium.T_degC","volume.medium.X[1]","volume.medium.d","volume.medium.p_bar","volume.medium.u","volume.portAreas[1]","volume.portAreas[2]","volume.portAreas[3]","volume.portAreas[4]","volume.portAreas[5]","volume.portInDensities[1]","volume.portInDensities[2]","volume.portInDensities[3]","volume.portInDensities[4]","volume.portInDensities[5]","volume.portVelocities[1]","volume.portVelocities[2]","volume.portVelocities[3]","volume.portVelocities[4]","volume.portVelocities[5]","volume.ports[5].h_outflow","volume.ports[4].m_flow","volume.ports[5].m_flow","volume.ports_E_flow[1]","volume.ports_E_flow[2]","volume.ports_E_flow[3]","volume.ports_E_flow[4]","volume.ports_E_flow[5]","volume.ports_H_flow[1]","volume.ports_H_flow[2]","volume.ports_H_flow[3]","volume.ports_H_flow[4]","volume.ports_H_flow[5]","volume.ports_penetration[1]","volume.ports_penetration[2]","volume.ports_penetration[3]","volume.ports_penetration[4]","volume.ports_penetration[5]","volume.s[1]","volume.s[2]","volume.s[3]","volume.s[4]","volume.s[5]","boundary.ports[1].m_flow","boundary1.ports[1].m_flow","boundary1.ports[2].m_flow","boundary1.ports[3].m_flow","boundary11.ports[1].m_flow","m_flow_orifice1.port_a.p","m_flow_orifice1.port_b.h_outflow","m_flow_par_test.port_a.p","m_flow_par_test.port_b.h_outflow","orifice.F_fg","orifice.port_a.h_outflow","orifice.port_a.m_flow","orifice.port_b.m_flow","orifice.port_b.p","orifice1.F_fg","orifice1.m_flow","orifice1.port_a.m_flow","orifice1.port_a.p","orifice1.port_b.h_outflow","orifice1.port_b.m_flow","orifice2.F_fg","orifice2.port_a.m_flow","orifice2.port_a.p","orifice2.port_b.h_outflow","orifice2.port_b.m_flow","volume.Qb_flow","volume.heatTransfer.Q_flows[1]","volume.heatTransfer.Ts[1]","volume.heatTransfer.heatPorts[1].T","volume.heatTransfer.states[1].T","volume.heatTransfer.states[1].p","volume.medium.h","volume.medium.state.T","volume.medium.state.p","volume.ports[1].h_outflow","volume.ports[2].h_outflow","volume.ports[3].h_outflow","volume.ports[4].h_outflow","volume.ports[1].m_flow","volume.ports[2].m_flow","volume.ports[3].m_flow","volume.ports[1].p","volume.ports[2].p","volume.ports[3].p","volume.ports[4].p","volume.ports[5].p","volume.vessel_ps_static[1]","volume.vessel_ps_static[2]","volume.vessel_ps_static[3]","volume.vessel_ps_static[4]","volume.vessel_ps_static[5]"
0,288.15,100000,5209.933465059245,6325674.590038578,15760.65207295077,0.05461737995694146,54.61737995694146,3736688.708297389,5232206.491366163,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,-0,0,0,0,0,7.853981633974483e-05,-7.853981633974483,0,0,0.022588058070687,1.813481922151806,100000,100000,0.05461737995694146,0,288.15,288.15,7.853981633974483e-05,0,0,0,-0,1.208987948101204,0,-0,0,288.15,288.15,1.963495408493621e-05,0,0,0,-0,1.208987948101204,0,-0,-0,0,288.15,288.15,15760.65207295077,248.8713377579743,0,0,0.0483597586204941,0.001208987948101204,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,0.05461737995694146,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0,0,0,0,0,1.208987948101204,1.208987948101204,1.208987948101204,1.208987948101204,1.208987948101204,0,0,0,0,0,288564.777097985,0,0,0,0,0,0,0,15760.65207295077,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-0.05461737995694146,-0,0,0,-0,100000,288564.777097985,100000,288564.777097985,7.853981633974483,288564.777097985,0.05461737995694146,-0.05461737995694146,100000,-0,-0,-0,100000,288564.777097985,0,-0,-0,100000,288564.777097985,0,0,0,288.15,288.15,288.15,100000,288564.777097985,288.15,100000,288564.777097985,288564.777097985,288564.777097985,288564.777097985,0.05461737995694146,0,0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
0.1,291.8431183897048,146272.8263870804,-80.4604612895555,7383.410453298421,17.96078271728675,0.0005695147368192238,0.5695147368192238,-57720.85828207339,-80817.13225552179,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03157150526615426,0,0,0,0,7.853981633974483e-05,-4.219722348012293,0,0,0.01655678056277895,2.082009159873537,53727.17361291964,53727.17361291964,0.04003389631951205,0,288.15,288.15,7.853981633974483e-05,-3.63425928596219,0,0,0.0180817515315925,1.477515185822936,46272.82638708036,46272.82638708036,0,291.8431183897048,291.8431183897048,1.963495408493621e-05,-0.9085648214905475,0,0,0.004563900217996966,1.477515185822936,46272.82638708036,46272.82638708036,0.007892876316538565,0,291.7287761758361,291.7287761758361,17.96078271728675,364.0499292346232,0,0,0.0483597586204941,0.001746042423544667,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,0.0005695147368192238,0.0289651159,287.0512249529787,18.69311838970486,1,1.746042423544667,1.462728263870804,208500.0480661632,0,0,0,0,0,1.7684208423668,1.7684208423668,1.7684208423668,1.746042423544667,1.746042423544667,0,0,0,0,0,292273.9726940251,0,0,0,0,0,0,0,11552.37236780384,-9227.52926806924,-2306.88231701731,0,0,1,1,1,1,1,0,0,0,0,0,-0.04003389631951205,0.03157150526615426,0,0,0.007892876316538565,146272.8263870804,292273.9726940251,146272.8263870804,292273.9726940251,4.219722348012293,292273.9726940251,0.04003389631951205,-0.04003389631951205,146272.8263870804,3.63425928596219,0.03157150526615426,0.03157150526615426,146272.8263870804,292273.9726940251,-0.03157150526615426,0.9085648214905475,0.007892876316538565,146272.8263870804,292273.9726940251,-0.007892876316538565,0,0,291.8431183897048,291.8431183897048,291.8431183897048,146272.8263870804,292273.9726940251,291.8431183897048,146272.8263870804,292273.9726940251,292273.9726940251,292273.9726940251,292273.9726940251,0.04003389631951205,-0.03157150526615426,-0.007892876316538565,146272.8263870804,146272.8263870804,146272.8263870804,146272.8263870804,146272.8263870804,146272.8263870804,146272.8263870804,146272.8263870804,146272.8263870804,146272.8263870804
0.2,288.5773171649126,146572.0607978628,-9.16739829614437,841.9847292736521,2.049253184748522,6.637441025969526e-05,0.06637441025969526,-6575.240405886069,-9206.75331642616,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03188470520950823,0,0,0,0,7.853981633974483e-05,-4.196220532346909,0,0,0.01651060954943576,2.093695230873732,53427.9392021372,53427.9392021372,0.03992225592214498,0,288.15,288.15,7.853981633974483e-05,-3.657761101627574,0,0,0.01801991790413817,1.489201256823131,46572.0607978628,46572.0607978628,0,288.5773171649126,288.5773171649126,1.963495408493621e-05,-0.9144402754068934,0,0,0.004546427013875051,1.489201256823131,46572.0607978628,46572.0607978628,0.007971176302377057,0,288.5650176015083,288.5650176015083,2.049253184748522,364.7779992639611,0,0,0.0483597586204941,0.001769414565545058,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,6.637441025969526e-05,0.0289651159,287.0512249529787,15.42731716491261,1,1.769414565545058,1.465720607978628,206157.4525083631,0,0,0,0,0,1.772038550329732,1.772038550329732,1.772038550329732,1.769414565545057,1.769414565545057,0,0,0,0,0,288993.9248941955,0,0,0,0,0,0,0,11520.15688142248,-9214.486102590185,-2303.621525647546,0,0,1,1,1,1,1,0,0,0,0,0,-0.03992225592214498,0.03188470520950823,0,0,0.007971176302377057,146572.0607978628,288993.9248941955,146572.0607978628,288993.9248941955,4.196220532346909,288993.9248941955,0.03992225592214498,-0.03992225592214498,146572.0607978628,3.657761101627574,0.03188470520950823,0.03188470520950823,146572.0607978628,288993.9248941955,-0.03188470520950823,0.9144402754068934,0.007971176302377057,146572.0607978628,288993.9248941955,-0.007971176302377057,0,0,288.5773171649126,288.5773171649126,288.5773171649126,146572.0607978628,288993.9248941955,288.5773171649126,146572.0607978628,288993.9248941955,288993.9248941955,288993.9248941955,288993.9248941955,0.03992225592214498,-0.03188470520950823,-0.007971176302377057,146572.0607978628,146572.0607978628,146572.0607978628,146572.0607978628,146572.0607978628,146572.0607978628,146572.0607978628,146572.0607978628,146572.0607978628,146572.0607978628
0.3,288.2004081535854,146606.6975082495,-1.07945803665541,99.2166202909584,0.2414943410476553,7.836905806538064e-06,0.007836905806538064,-774.2153477293285,-1084.075099436601,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03192118108136353,0,0,0,0,7.853981633974483e-05,-4.193500171474527,0,0,0.01650525686388817,2.095061592852589,53393.30249175054,53393.30249175054,0.03990931325751096,0,288.15,288.15,7.853981633974483e-05,-3.660481462499956,0,0,0.01801271331702909,1.490567618801986,46606.69750824946,46606.69750824946,0,288.2004081535853,288.2004081535853,1.963495408493621e-05,-0.9151203656249889,0,0,0.004544385683140934,1.490567618801986,46606.69750824946,46606.69750824946,0.007980295270340883,0,288.1989697894135,288.1989697894135,0.2414943410476553,364.8623027365472,0,0,0.0483597586204941,0.001772147289502768,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,7.836905806538064e-06,0.0289651159,287.0512249529787,15.05040815358547,1,1.772147289502768,1.466066975082495,205887.1206122607,0,0,0,0,0,1.772457303983925,1.772457303983925,1.772457303983925,1.772147289502769,1.772147289502769,0,0,0,0,0,288615.4008046958,0,0,0,0,0,0,0,11516.42208428731,-9212.944471957009,-2303.236117989252,0,0,1,1,1,1,1,0,0,0,0,0,-0.03990931325751096,0.03192118108136353,0,0,0.007980295270340883,146606.6975082495,288615.4008046958,146606.6975082495,288615.4008046958,4.193500171474527,288615.4008046958,0.03990931325751096,-0.03990931325751096,146606.6975082495,3.660481462499956,0.03192118108136353,0.03192118108136353,146606.6975082495,288615.4008046958,-0.03192118108136353,0.9151203656249889,0.007980295270340883,146606.6975082495,288615.4008046958,-0.007980295270340883,0,0,288.2004081535854,288.2004081535854,288.2004081535854,146606.6975082495,288615.4008046958,288.2004081535854,146606.6975082495,288615.4008046958,288615.4008046958,288615.4008046958,288615.4008046958,0.03990931325751096,-0.03192118108136353,-0.007980295270340883,146606.6975082495,146606.6975082495,146606.6975082495,146606.6975082495,146606.6975082495,146606.6975082495,146606.6975082495,146606.6975082495,146606.6975082495,146606.6975082495
0.4,288.1561502080665,146610.7678450457,-0.1317495407475479,11.97021739429658,0.02912820849905984,9.551160590481889e-07,0.0009551160590481889,-94.49395085123885,-132.3128179098149,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03192546952575142,0,0,0,0,7.853981633974483e-05,-4.19318048797011,0,0,0.01650462772847577,2.095222289449596,53389.23215495431,53389.23215495431,0.03990779202324832,0,288.15,288.15,7.853981633974483e-05,-3.660801146004372,0,0,0.01801186663404247,1.490728315398994,46610.76784504569,46610.76784504569,0,288.1561502080665,288.1561502080665,1.963495408493621e-05,-0.915200286501093,0,0,0.004544145703011988,1.490728315398994,46610.76784504569,46610.76784504569,0.007981367381437855,0,288.1559748953885,288.1559748953885,0.02912820849905984,364.8722101462623,0,0,0.0483597586204941,0.001772468682696785,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.551160590481889e-07,0.0289651159,287.0512249529787,15.00615020806657,1,1.772468682696785,1.466107678450457,205855.3777046795,0,0,0,0,0,1.772506513865239,1.772506513865239,1.772506513865239,1.772468682696785,1.772468682696785,0,0,0,0,0,288570.9535996395,0,0,0,0,0,0,0,11515.9831096614,-9212.763185162319,-2303.19079629058,0,0,1,1,1,1,1,0,0,0,0,0,-0.03990779202324832,0.03192546952575142,0,0,0.007981367381437855,146610.7678450457,288570.9535996395,146610.7678450457,288570.9535996395,4.19318048797011,288570.9535996395,0.03990779202324832,-0.03990779202324832,146610.7678450457,3.660801146004372,0.03192546952575142,0.03192546952575142,146610.7678450457,288570.9535996395,-0.03192546952575142,0.915200286501093,0.007981367381437855,146610.7678450457,288570.9535996395,-0.007981367381437855,0,0,288.1561502080665,288.1561502080665,288.1561502080665,146610.7678450457,288570.9535996395,288.1561502080665,146610.7678450457,288570.9535996395,288570.9535996395,288570.9535996395,288570.9535996395,0.03990779202324832,-0.03192546952575142,-0.007981367381437855,146610.7678450457,146610.7678450457,146610.7678450457,146610.7678450457,146610.7678450457,146610.7678450457,146610.7678450457,146610.7678450457,146610.7678450457,146610.7678450457
0.5,288.150749751551,146611.2633222855,-0.01606111422396866,1.458546884994564,0.003549177680724824,1.164306868556286e-07,0.0001164306868556286,-11.51941520456436,-16.12977771666428,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03192599232845714,0,0,0,0,7.853981633974483e-05,-4.193141573278695,0,0,0.01650455114293563,2.095241894176477,53388.73667771451,53388.7366777145,0.03990760684125828,0,288.15,288.15,7.853981633974483e-05,-3.660840060695787,0,0,0.01801176314635307,1.490747920125874,46611.26332228549,46611.26332228549,0,288.1507497515508,288.1507497515508,1.963495408493621e-05,-0.9152100151739467,0,0,0.004544116379619547,1.490747920125874,46611.26332228549,46611.26332228549,0.007981498082114284,0,288.150728382429,288.150728382429,0.003549177680724824,364.8734161024813,0,0,0.0483597586204941,0.001772507892150544,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,1.164306868556286e-07,0.0289651159,287.0512249529787,15.00074975155098,1,1.772507892150544,1.466112633222855,205851.5043675143,0,0,0,0,0,1.772512504125353,1.772512504125353,1.772512504125353,1.772507892150545,1.772507892150545,0,0,0,0,0,288565.5300548162,0,0,0,0,0,0,0,11515.92967266172,-9212.74089878723,-2303.185224696807,0,0,1,1,1,1,1,0,0,0,0,0,-0.03990760684125828,0.03192599232845714,0,0,0.007981498082114284,146611.2633222855,288565.5300548162,146611.2633222855,288565.5300548162,4.193141573278695,288565.5300548162,0.03990760684125828,-0.03990760684125828,146611.2633222855,3.660840060695787,0.03192599232845714,0.03192599232845714,146611.2633222855,288565.5300548162,-0.03192599232845714,0.9152100151739467,0.007981498082114284,146611.2633222855,288565.5300548162,-0.007981498082114284,0,0,288.150749751551,288.150749751551,288.150749751551,146611.2633222855,288565.5300548162,288.150749751551,146611.2633222855,288565.5300548162,288565.5300548162,288565.5300548162,288565.5300548162,0.03990760684125828,-0.03192599232845714,-0.007981498082114284,146611.2633222855,146611.2633222855,146611.2633222855,146611.2633222855,146611.2633222855,146611.2633222855,146611.2633222855,146611.2633222855,146611.2633222855,146611.2633222855
0.6,288.1501157820906,146611.3213705994,-0.002473490511993394,0.237300960291916,0.0005781416994068422,1.808424711369216e-08,1.808424711369216e-05,-1.774046480684728,-2.484064962062003,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03192605364936444,0,0,0,0,7.853981633974483e-05,-4.193137014174786,0,0,0.01650454217042865,2.09524419495416,53388.67862940065,53388.67862940064,0.03990758514595266,0,288.15,288.15,7.853981633974483e-05,-3.660844619799696,0,0,0.01801175098214089,1.490750220903557,46611.32137059935,46611.32137059935,0,288.1501157820905,288.1501157820905,1.963495408493621e-05,-0.9152111549499241,0,0,0.004544112933789134,1.490750220903557,46611.32137059935,46611.32137059935,0.00798151341234111,0,288.1501124821635,288.1501124821635,0.0005781416994068422,364.8735573816027,0,0,0.0483597586204941,0.001772512493705911,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,1.808424711369216e-08,0.0289651159,287.0512249529787,15.00011578209057,1,1.772512493705911,1.466113213705994,205851.049669465,0,0,0,0,0,1.772513205922472,1.772513205922472,1.772513205922472,1.772512493705911,1.772512493705911,0,0,0,0,0,288564.8933750567,0,0,0,0,0,0,0,11515.92341216069,-9212.738267215191,-2303.184566803798,0,0,1,1,1,1,1,0,0,0,0,0,-0.03990758514595266,0.03192605364936444,0,0,0.00798151341234111,146611.3213705994,288564.8933750567,146611.3213705994,288564.8933750567,4.193137014174786,288564.8933750567,0.03990758514595266,-0.03990758514595266,146611.3213705994,3.660844619799696,0.03192605364936444,0.03192605364936444,146611.3213705994,288564.8933750567,-0.03192605364936444,0.9152111549499241,0.00798151341234111,146611.3213705994,288564.8933750567,-0.00798151341234111,0,0,288.1501157820906,288.1501157820906,288.1501157820906,146611.3213705994,288564.8933750567,288.1501157820906,146611.3213705994,288564.8933750567,288564.8933750567,288564.8933750567,288564.8933750567,0.03990758514595266,-0.03192605364936444,-0.00798151341234111,146611.3213705994,146611.3213705994,146611.3213705994,146611.3213705994,146611.3213705994,146611.3213705994,146611.3213705994,146611.3213705994,146611.3213705994,146611.3213705994
0.7,288.1500474492477,146611.3277243918,-0.001014863892730735,0.09513030651676478,0.000231651111789688,7.39290097195866e-09,7.39290097195866e-06,-0.7278846235351846,-1.01920254710409,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03192606030267889,0,0,0,0,7.853981633974483e-05,-4.193136515149097,0,0,0.01650454118832495,2.095244443532145,53388.67227560823,53388.67227560822,0.03990758277124958,0,288.15,288.15,7.853981633974483e-05,-3.660845118825386,0,0,0.01801174968379492,1.490750469481543,46611.32772439177,46611.32772439177,0,288.1500474492477,288.1500474492477,1.963495408493621e-05,-0.9152112797063464,0,0,0.004544112565226965,1.490750469481543,46611.32772439177,46611.32772439177,0.007981515075669722,0,288.15004609689,288.15004609689,0.000231651111789688,364.8735728509134,0,0,0.0483597586204941,0.001772512990861882,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,7.39290097195866e-09,0.0289651159,287.0512249529787,15.00004744924769,1,1.772512990861882,1.466113277243918,205851.0006595179,0,0,0,0,0,1.772513282739057,1.772513282739057,1.772513282739057,1.772512990861881,1.772512990861881,0,0,0,0,0,288564.8247500834,0,0,0,0,0,0,0,11515.92272690502,-9212.73799620313,-2303.184499050783,0,0,1,1,1,1,1,0,0,0,0,0,-0.03990758277124958,0.03192606030267889,0,0,0.007981515075669722,146611.3277243918,288564.8247500834,146611.3277243918,288564.8247500834,4.193136515149097,288564.8247500834,0.03990758277124958,-0.03990758277124958,146611.3277243918,3.660845118825386,0.03192606030267889,0.03192606030267889,146611.3277243918,288564.8247500834,-0.03192606030267889,0.9152112797063464,0.007981515075669722,146611.3277243918,288564.8247500834,-0.007981515075669722,0,0,288.1500474492477,288.1500474492477,288.1500474492477,146611.3277243918,288564.8247500834,288.1500474492477,146611.3277243918,288564.8247500834,288564.8247500834,288564.8247500834,288564.8247500834,0.03990758277124958,-0.03192606030267889,-0.007981515075669722,146611.3277243918,146611.3277243918,146611.3277243918,146611.3277243918,146611.3277243918,146611.3277243918,146611.3277243918,146611.3277243918,146611.3277243918,146611.3277243918
0.8,288.1500183749363,146611.3304104999,-0.0003931903325781444,0.03651967686726866,8.891073775885161e-05,2.860171981200477e-09,2.860171981200477e-06,-0.2820054972630922,-0.3948712638693178,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03192606312572478,0,0,0,0,7.853981633974483e-05,-4.193136304182654,0,0,0.01650454077313403,2.095244549192708,53388.66958950006,53388.66958950005,0.03990758176732795,0,288.15,288.15,7.853981633974483e-05,-3.660845329791828,0,0,0.01801174912909251,1.490750575142106,46611.33041049994,46611.33041049994,0,288.1500183749362,288.1500183749362,1.963495408493621e-05,-0.915211332447957,0,0,0.004544112407902311,1.490750575142106,46611.33041049994,46611.33041049994,0.007981515781431194,0,288.1500178512299,288.1500178512299,8.891073775885161e-05,364.8735793897319,0,0,0.0483597586204941,0.001772513202183008,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,2.860171981200477e-09,0.0289651159,287.0512249529787,15.0000183749363,1,1.772513202183008,1.466113304105,205850.9798067273,0,0,0,0,0,1.772513315213781,1.772513315213781,1.772513315213781,1.772513202183008,1.772513202183008,0,0,0,0,0,288564.7955514761,0,0,0,0,0,0,0,11515.9224372086,-9212.737878638291,-2303.184469659573,0,0,1,1,1,1,1,0,0,0,0,0,-0.03990758176732795,0.03192606312572478,0,0,0.007981515781431194,146611.3304104999,288564.7955514761,146611.3304104999,288564.7955514761,4.193136304182654,288564.7955514761,0.03990758176732795,-0.03990758176732795,146611.3304104999,3.660845329791828,0.03192606312572478,0.03192606312572478,146611.3304104999,288564.7955514761,-0.03192606312572478,0.915211332447957,0.007981515781431194,146611.3304104999,288564.7955514761,-0.007981515781431194,0,0,288.1500183749363,288.1500183749363,288.1500183749363,146611.3304104999,288564.7955514761,288.1500183749363,146611.3304104999,288564.7955514761,288564.7955514761,288564.7955514761,288564.7955514761,0.03990758176732795,-0.03192606312572478,-0.007981515781431194,146611.3304104999,146611.3304104999,146611.3304104999,146611.3304104999,146611.3304104999,146611.3304104999,146611.3304104999,146611.3304104999,146611.3304104999,146611.3304104999
0.9,288.1500097589861,146611.3312051999,-0.0002088823508939617,0.01929292103200744,4.696465703091235e-05,1.518158765367872e-09,1.518158765367872e-06,-0.1498154108155825,-0.2097753455107521,0.0289651159,287.0512249529787,15,1,2.417975896202409,2,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.0289651159,287.0512249529787,15,1,1.208987948101204,1,205850.9666277842,0.03192606396172272,0,0,0,0,7.853981633974483e-05,-4.193136241767062,0,0,0.01650454065029749,2.095244580496509,53388.66879480006,53388.66879480005,0.03990758147031216,0,288.15,288.15,7.853981633974483e-05,-3.66084539220742,0,0,0.01801174896453833,1.490750606445907,46611.33120519994,46611.33120519994,0,288.150009758986,288.150009758986,1.963495408493621e-05,-0.915211348051855,0,0,0.004544112361241927,1.490750606445907,46611.33120519994,46611.33120519994,0.00798151599043068,0,288.1500094808439,288.1500094808439,4.696465703091235e-05,364.8735813242065,0,0,0.0483597586204941,0.001772513264790609,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,9.999999999999999e+59,1.518158765367872e-09,0.0289651159,287.0512249529787,15.00000975898615,1,1.772513264790609,1.466113312052,205850.973627162,0,0,0,0,0,1.772513324821608,1.772513324821608,1.772513324821608,1.77251326479061,1.77251326479061,0,0,0,0,0,288564.7868986918,0,0,0,0,0,0,0,11515.92235150031,-9212.73784362852,-2303.18446090713,0,0,1,1,1,1,1,0,0,0,0,0,-0.03990758147031216,0.03192606396172272,0,0,0.00798151599043068,146611.3312051999,288564.7868986918,146611.3312051999,288564.7868986918,4.193136241767062,288564.7868986918,0.03990758147031216,-0.03990758147031216,146611.3312051999,3.66084539220742,0.03192606396172272,0.03192606396172272,146611.3312051999,288564.7868986918,-0.03192606396172272,0.915211348051855,0.00798151599043068,146611.3312051999,288564.7868986918,-0.00798151599043068,0,0,288.1500097589861,288.1500097589861,288.1500097589861,146611.3312051999,288564.7868986918,288.1500097589861,146611.3312051999,288564.7868986918,288564.7868986918,288564.7868986918,288564.7868986918,0.03990758147031216,-0.03192606396172272,-0.00798151599043068,146611.3312051999,146611.3312051999,146611.3312051999,146611.3312051999,146611.3312051999,146611.3312051999,146611.3312051999,146611.3312051999,146611.3312051999,146611.3312051999
